club,name,category,shortname,radius500,radius1000,radius1500,radius3000,radius5000,id
ジュビロ磐田,ヤマハスタジアム,J1,磐田,1879,9514,23205,58801,127267,0
清水エスパルス,IAIスタジアム日本平,J1,清水,819,3836,13784,57529,154758,1
横浜F・マリノス,日産スタジアム,J1,横浜,978,21490,50401,280387,887861,2
ジェフユナイテッド千葉,フクダ電子アリーナ,J2,千葉,419,8085,23932,94656,264262,3
浦和レッズ,埼玉スタジアム2002,J1,浦和,116,1400,6869,31216,235820,4
鹿島アントラーズ,県立カシマサッカースタジアム,J1,鹿島,123,1607,4055,28916,54602,5
北海道コンサドーレ札幌,札幌ドーム,J1,札幌,2831,15729,33862,192623,545941,6
湘南ベルマーレ,Shonan BMWスタジアム平塚,J1,湘南,2503,16862,56971,186161,336325,7
サンフレッチェ広島,エディオンスタジアム広島,J1,広島,2501,5912,10805,34606,103026,8
ガンバ大阪,パナソニックスタジアム吹田,J1,G大阪,2432,20148,65345,265719,725812,9
名古屋グランパス,パロマ瑞穂スタジアム,J1,名古屋,9063,32885,74443,260359,689947,10
柏レイソル,三協フロンテアスタジアム柏,J1,柏,6401,33920,68879,227583,509830,11
セレッソ大阪,ヤンマースタジアム長居,J1,C大阪,6149,41307,111324,443937,1077616,12
アビスパ福岡,レベルファイブスタジアム,J2,福岡,585,6498,27024,146022,608378,13
ヴィッセル神戸,ノエビアスタジアム神戸,J1,神戸,8077,14758,34463,159967,333091,14
京都サンガF.C.,京都市西京極総合運動公園陸上競技場兼球技場,J2,京都,5904,30195,69581,324758,719350,15
大宮アルディージャ,NACK5スタジアム大宮,J2,大宮,6128,32824,65175,291005,719721,16
モンテディオ山形,NDソフトスタジアム山形,J2,山形,67,2044,8312,32009,72934,17
ベガルタ仙台,ユアテックスタジアム仙台,J1,仙台,3578,26569,55123,160292,374271,18
ヴァンフォーレ甲府,山梨中銀スタジアム,J2,甲府,1072,5146,13068,63888,165777,19
川崎フロンターレ,等々力陸上競技場,J1,川崎,9676,43484,110096,499902,1350107,20
FC東京&東京ヴェルディ,味の素スタジアム,J1&J2,東京&東京V,3131,29794,71788,285477,946113,21
アルビレックス新潟,デンカビッグスワンスタジアム,J2,新潟,325,1337,7019,84284,278287,22
水戸ホーリーホック,ケーズデンキスタジアム水戸,J2,水戸,199,564,1711,26192,117289,23
大分トリニータ,大分銀行ドーム,J2,大分,0,1325,11368,52244,184429,24
サガン鳥栖,ベストアメニティスタジアム,J1,鳥栖,3137,15505,26561,54821,123212,25
徳島ヴォルティス,鳴門・大塚スポーツパークポカリスウェットスタジアム,J2,徳島,1337,5402,13928,34268,60879,26
横浜FC&Y.S.C.C.横浜,ニッパツ三ツ沢球技場,J2&J3,横浜FC&YS横浜,8465,38591,99164,378894,955960,27
ザスパクサツ群馬,正田醤油スタジアム群馬,J3,群馬,2442,9870,24296,85815,192397,28
ロアッソ熊本,うまかな・よかなスタジアム,J2,熊本,230,2123,7697,51591,195172,29
愛媛FC,ニンジニアスタジアム,J2,愛媛,817,4764,8121,31604,83648,30
FC岐阜,岐阜メモリアルセンター長良川競技場,J2,岐阜,3437,19489,39867,118501,271642,31
ファジアーノ岡山,シティライトスタジアム,J2,岡山,7447,25088,55175,156278,324909,32
カターレ富山,富山県総合運動公園陸上競技場,J3,富山,118,839,2262,20279,84732,33
栃木SC,栃木県グリーンスタジアム,J2,栃木,298,5716,9799,23963,43217,34
ギラヴァンツ北九州,北九州市立本城陸上競技場,J3,北九州,4067,12680,25664,80575,200299,35
カマタマーレ讃岐,Pikaraスタジアム,J2,讃岐,622,4667,11376,57245,128367,36
V・ファーレン長崎,トランスコスモススタジアム長崎,J1,長崎,1262,7742,18888,70848,97989,37
松本山雅FC,松本平広域公園総合球技場,J2,松本,106,1251,5117,18314,87078,38
町田ゼルビア,町田市立陸上競技場,J2,町田,632,5517,14029,130649,534554,39
ガイナーレ鳥取,とりぎんバードスタジアム,J3,鳥取,557,1398,2400,28709,81874,40
ブラウブリッツ秋田,あきぎんスタジアム,J3,秋田,3292,16725,34926,115347,232284,41
グルージャ盛岡,いわぎんスタジアム,J3,盛岡,259,3067,7427,38813,107266,42
福島ユナイテッドFC,とうほう・みんなのスタジアム,J3,福島,241,610,1353,7276,15816,43
藤枝MYFC,藤枝総合運動公園サッカー場,J3,藤枝,628,3167,7392,47880,123327,44
AC長野パルセイロ,長野Uスタジアム,J3,長野,90,3267,12990,56203,142536,45
ツエーゲン金沢,石川県西部緑地公園陸上競技場,J2,金沢,317,5169,18216,97572,262028,46
SC相模原,相模原ギオンスタジアム,J3,相模原,1336,7903,21045,117242,505277,47
レノファ山口FC,維新みらいふスタジアム,J2,山口,576,5621,16871,56771,85618,48
FC琉球,沖縄市陸上競技場,J3,琉球,3065,11583,29107,80591,192546,49
ヴァンラーレ八戸,ダイハツスタジアム八戸,JFL,八戸,569,1553,4172,12072,23252,50
ソニー仙台,みやぎ生協めぐみのサッカー場,JFL,ソニー,3314,8242,14648,28101,104510,51
流経大ドラゴンズ龍ケ崎,龍ケ崎市陸上競技場たつのこフィールド,JFL,流経大,2801,12191,16014,37157,74387,52
栃木ウーヴァFC,栃木市総合運動公園陸上競技場,関東1部,栃木U,492,4647,11042,48685,83116,53
東京武蔵野シティFC,武蔵野市立武蔵野陸上競技場,JFL,武蔵野,11546,52286,114412,449466,1211044,54
アスルクラロ沼津,静岡県愛鷹広域公園多目的競技場,J3,沼津,418,845,1353,12324,119683,55
Honda FC,都田サッカー場,JFL,Honda,590,2036,5175,26530,91761,56
FCマルヤス岡崎,豊田市運動公園球技場,JFL,マルヤス,713,3304,10154,36846,103196,57
MIOびわこ滋賀,東近江市布引運動公園陸上競技場,JFL,滋賀,371,1622,3525,29382,52161,58
奈良クラブ,奈良市鴻ノ池陸上競技場,JFL,奈良,1379,8871,22223,95258,210402,59
C大阪&FC大阪,キンチョウスタジアム,J1&JFL,C大阪&FC大阪,7984,46683,112160,452278,1083959,60
ヴェルスパ大分,大分市営陸上競技場,JFL,V大分,3301,15794,34677,101793,229767,61
ホンダロックSC,都農町藤見公園陸上競技場,JFL,ロック,227,1232,2984,8547,11480,62
鹿児島ユナイテッド,鹿児島県立鴨池陸上競技場,J3,鹿児島,1301,15150,40133,133549,276701,63
ラインメール青森,青森県総合運動公園陸上競技場,JFL,青森,2711,10483,21187,89358,169139,64
なし,柏の葉公園総合競技場,なし,なし,339,6420,21144,129547,282597,65
FC今治,ありがとうサービス・夢スタジアム,JFL,今治,30,281,2241,21168,71276,66
VONDS市原,ゼットエーオリプリスタジアム,関東1部,V市原,672,2609,10135,43299,94284,67
ブリオベッカ浦安,浦安市運動公園陸上競技場,関東1部,浦安,2,292,5095,94910,342074,68
東京23FC,江戸川区陸上競技場,関東1部,東京23,8803,29640,72602,269389,868037,69
FC東京U-23,江東区夢の島陸上競技場,J3,東京U23,0,2384,16892,187932,743377,70
なし,味の素フィールド西が丘,なし,なし,12375,61641,141235,542930,1372139,71
なし,新国立競技場(建設中),なし,なし,2915,26675,61844,357979,1212022,72
なし,駒沢オリンピック公園総合運動場陸上競技場,なし,なし,6870,56930,142283,569381,1487506,73
なし,ひとめぼれスタジアム宮城,なし,なし,632,5321,8993,36696,124906,74
コバルトーレ女川,石巻フットボール場,JFL,女川,1786,4022,10190,48497,97356,75
コバルトーレ女川,女川サッカー場(計画),JFL,女川,301,1728,2083,5473,6083,76
北海道コンサドーレ札幌,札幌厚別公園競技場,J1,札幌,3668,19734,49319,164791,384155,77
栃木SC,栃木県総合運動公園新スタジアム(建設中),J2,栃木,2137,15440,31887,91327,175173,78
ジョイフル本田つくばFC,セキショウチャレンジスタジアム,関東1部,つくば,105,535,1696,10043,32546,79
なし,エコパスタジアム,なし,なし,268,1397,3951,14897,64431,80
名古屋グランパス,豊田スタジアム,J1,名古屋,9,7247,24763,107603,230998,81
ヴィアティン三重,四日市中央緑地競技場,JFL,三重,856,6635,21182,86626,174504,82
鈴鹿アンリミテッドFC,AGF鈴鹿陸上競技場,東海1部,鈴鹿,4002,12728,22504,80324,142210,83
京都サンガF.C.,京都スタジアム(建設中),J2,京都,108,4889,15330,47938,79454,84
なし,笠松運動公園陸上競技場,なし,なし,155,1249,4395,33705,104368,85
FC刈谷,ウェーブスタジアム刈谷,東海1部,刈谷,2452,12008,31482,88186,263877,86
ツエーゲン金沢,金沢市民サッカー場,J2,金沢,327,4435,22331,117348,259382,87
サウルコス福井,テクノポート福井,北信越1部,福井,12,450,889,4974,22780,88
高知ユナイテッドSC,春野運動公園球技場,四国,高知,146,608,1553,17263,103778,89
アルテリーヴォ和歌山,紀三井寺公園陸上競技場,関西1部,和歌山,2681,9183,15482,37079,101111,90
FCティアモ枚方,枚方陸上競技場,関西1部,枚方,1209,11055,40414,202100,463585,91
ガイナーレ鳥取,チュウブYAJINスタジアム,J3,鳥取,3384,14809,27454,67485,124821,92
松江シティFC,松江市営陸上競技場,中国,松江,2586,12911,23333,64890,108349,93
ギラヴァンツ北九州,ミクニワールドスタジアム北九州,J3,北九州,268,4874,20752,108814,285641,94
テゲバジャーロ宮崎,KIRISHIMAハイビスカス陸上競技場,JFL,宮崎,147,818,2838,13167,32792,95
FC琉球,奥武山スタジアム(計画),J3,琉球,3487,29819,72653,253844,449211,96
浦和レッズ,浦和駒場スタジアム,J1,浦和,8604,42223,92642,348249,830480,97
いわきFC,いわきFCパーク,東北2部,いわき,338,4656,10698,27329,52993,98
V・ファーレン長崎,長崎市新スタジアム(計画),J1,長崎,3130,18639,34748,130591,248790,99
ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,J1,神戸,955,13748,34249,130193,296901,100
ガンバ大阪U-23,万博記念競技場,J3,G大阪23,2948,21587,52513,260007,671241,101
