id,class,name,h27,h22,inc,inc_rate,area,density,family_h27,family_h22,family_inc,family_rate
01100,1,札幌市,1952356,1913545,38811,2.0282251005,1121.26,1741.2,921837,885848,35989,4.0626608628
01101,0,札幌市 中央区,237627,220189,17438,7.9195600144,46.42,5119.1,132006,120741,11265,9.329887942
01102,0,札幌市 北区,285321,278781,6540,2.3459274484,63.57,4488.3,133662,127440,6222,4.8822975518
01103,0,札幌市 東区,261912,255873,6039,2.3601552333,56.97,4597.4,124425,118939,5486,4.6124483979
01104,0,札幌市 白石区,209584,204259,5325,2.60698427,34.47,6080.2,104608,100444,4164,4.1455935646
01105,0,札幌市 豊平区,218652,212118,6534,3.0803609312,46.23,4729.7,110171,107179,2992,2.7915916364
01106,0,札幌市 南区,141190,146341,-5151,-3.5198611462,657.48,214.7,61291,62776,-1485,-2.3655537148
01107,0,札幌市 西区,213578,211229,2349,1.112063211,75.1,2843.9,97750,96421,1329,1.3783304467
01108,0,札幌市 厚別区,127767,128492,-725,-0.5642374623,24.38,5240.6,55585,54099,1486,2.7468160225
01109,0,札幌市 手稲区,140999,139644,1355,0.9703245395,56.77,2483.7,57333,55050,2283,4.1471389646
01110,0,札幌市 清田区,115726,116619,-893,-0.7657414315,59.87,1933,45006,42759,2247,5.2550340279
01202,2,函館市,265979,279127,-13148,-4.710400642,677.86,392.4,123950,126180,-2230,-1.7673165319
01203,2,小樽市,121924,131928,-10004,-7.5829240192,243.83,500,55466,57711,-2245,-3.8900729497
01204,2,旭川市,339605,347095,-7490,-2.1579106585,747.66,454.2,155747,154393,1354,0.8769827648
01205,2,室蘭市,88564,94535,-5971,-6.3161791929,80.88,1095,43616,45029,-1413,-3.1379777477
01206,2,釧路市,174742,181169,-6427,-3.5475164073,1362.92,128.2,82078,81015,1063,1.312102697
01207,2,帯広市,169327,168057,1270,0.7556959841,619.34,273.4,77707,75474,2233,2.9586347616
01208,2,北見市,121226,125689,-4463,-3.550827837,1427.41,84.9,56202,56012,190,0.3392130258
01209,2,夕張市,8843,10922,-2079,-19.0349752793,763.07,11.6,4539,5558,-1019,-18.3339330694
01210,2,岩見沢市,84499,90145,-5646,-6.2632425537,481.02,175.7,36155,36723,-568,-1.546714593
01211,2,網走市,39077,40998,-1921,-4.6855944192,471,83,18035,18112,-77,-0.4251325088
01212,2,留萌市,22221,24457,-2236,-9.1425767674,297.83,74.6,10402,11044,-642,-5.8131111916
01213,2,苫小牧市,172737,173320,-583,-0.3363720286,561.57,307.6,78298,76289,2009,2.6334071753
01214,2,稚内市,36380,39595,-3215,-8.1197120849,761.47,47.8,16486,17343,-857,-4.9414749467
01215,2,美唄市,23035,26034,-2999,-11.5195513559,277.69,83,10173,10992,-819,-7.4508733624
01216,2,芦別市,14676,16628,-1952,-11.7392350253,865.04,17,6862,7526,-664,-8.8227478076
01217,2,江別市,120636,123722,-3086,-2.494301741,187.38,643.8,51983,51170,813,1.5888215751
01218,2,赤平市,11105,12637,-1532,-12.1231304898,129.88,85.5,4980,5585,-605,-10.8325872874
01219,2,紋別市,23109,24750,-1641,-6.6303030303,830.78,27.8,11127,11390,-263,-2.3090430202
01220,2,士別市,19914,21787,-1873,-8.5968696929,1119.22,17.8,8650,9100,-450,-4.9450549451
01221,2,名寄市,29048,30591,-1543,-5.0439671799,535.2,54.3,13086,13348,-262,-1.962840875
01222,2,三笠市,9076,10221,-1145,-11.2024263771,302.52,30,4254,4776,-522,-10.9296482412
01223,2,根室市,26917,29201,-2284,-7.8216499435,506.25,65.4,11383,11897,-514,-4.3204169118
01224,2,千歳市,95648,93604,2044,2.1836673646,594.5,160.9,40638,38541,2097,5.4409589787
01225,2,滝川市,41192,43170,-1978,-4.5818855687,115.9,355.4,18651,18947,-296,-1.5622525994
01226,2,砂川市,17694,19056,-1362,-7.1473551637,78.68,224.9,7858,8415,-557,-6.6191325015
01227,2,歌志内市,3585,4387,-802,-18.2812856166,55.95,64.1,1665,2000,-335,-16.75
01228,2,深川市,21909,23709,-1800,-7.5920536505,529.42,41.4,9669,10100,-431,-4.2673267327
01229,2,富良野市,22936,24259,-1323,-5.4536460695,600.71,38.2,9929,10074,-145,-1.4393488187
