name,広告料収入,入場料収入,配分金,アカデミー関連収入,物販収入,その他収入
仙台,908,608,211,81,183,294
鹿島,1958,869,232,283,540,1700
浦和,2593,2375,319,14,778,527
大宮,2077,398,216,174,165,173
柏,1929,435,185,30,61,234
FC東京,1935,961,245,444,289,667
川崎F,1809,907,222,168,476,672
横浜FM,2366,1005,224,315,509,277
湘南,681,331,185,0,199,231
甲府,736,342,193,59,61,132
新潟,1049,679,218,194,277,491
磐田,1569,474,219,234,294,513
名古屋,3088,761,208,203,187,266
G大阪,1817,1390,288,140,588,923
神戸,2221,427,190,219,130,678
広島,1620,563,290,93,487,741
福岡,618,275,207,175,112,449
鳥栖,1631,553,190,95,152,145
